Brnd_Name,Gnrc_Name,Tot_Spndng_2019,Tot_Spndng_2023,Avg_Spnd_Per_Clm_2023,Tot_Clms_2023
Altreno,Tretinoin,35923.21,173162.8,98.89366077,1751
Altuviiio,"FVIII Rec,Fc-VWF-Xten,Bdd-Ehtl",41000213.6,,,
Altuviiio,"FVIII Rec,Fc-VWF-Xten,Bdd-Ehtl",41000213.6,,,
Alum-Mag Hydroxide-Simethicone,Mag Hydrox/Aluminum Hyd/Simeth,345627.01,,,
Alum-Mag Hydroxide-Simethicone,Mag Hydrox/Aluminum Hyd/Simeth,345627.01,,,
Alunbrig,Brigatinib,2826093.12,8485809.31,18487.60198,459
Alunbrig,Brigatinib,2826093.12,8485809.31,18487.60198,459
Alvesco,Ciclesonide,2911114.77,17254870.14,321.7571399,53627
Alvesco,Ciclesonide,2911114.77,17254870.14,321.7571399,53627
Alvimopan,Alvimopan,51784.15,,,
Alvimopan,Alvimopan,51784.15,,,
Alyacen,Norethindrone-Ethin. Estradiol,1148839.35,742206.33,22.51566345,32964
Alyacen,Norethindrone-Ethin. Estradiol,1148839.35,742206.33,22.51566345,32964
Alymsys,Bevacizumab-Maly,5253157.9,,,
Alymsys,Bevacizumab-Maly,5253157.9,,,
Alyq,Tadalafil,4268222.63,134616.32,322.0486124,418
Alyq,Tadalafil,4268222.63,134616.32,322.0486124,418
Amabelz,Estradiol/Norethindrone Acet,14187.12,521.3,47.39090909,11
Amabelz,Estradiol/Norethindrone Acet,14187.12,521.3,47.39090909,11
Amantadine,Amantadine HCl,6792928.67,5498126.54,28.64622127,191932
Amantadine,Amantadine HCl,24704.61,,,
Amantadine,Amantadine HCl,4764.82,200.53,6.684333333,30
Amantadine,Amantadine HCl,5726.2,492.48,11.72571429,42
Amantadine,Amantadine HCl,3676.93,3065.86,42.58138889,72
Amantadine,Amantadine HCl,233842.4,1041.95,94.72272727,11
Amantadine,Amantadine HCl,473207.55,684867.12,23.02229125,29748
Amantadine,Amantadine HCl,1239251.11,964388.2,39.09153628,24670
Amantadine,Amantadine HCl,239814.94,367610.23,18.18232417,20218
Amantadine,Amantadine HCl,61285.87,31318.05,15.43521439,2029
Amantadine,Amantadine HCl,6137.17,13659.89,390.2825714,35
Amantadine,Amantadine HCl,1687377.14,656443.75,32.18177027,20398
Amantadine,Amantadine HCl,13495.86,13400.33,155.8177907,86
Amantadine,Amantadine HCl,2859.51,,,
Amantadine,Amantadine HCl,652836.03,1537968.78,28.69505345,53597
Amantadine,Amantadine HCl,1056801.61,546412.52,46.51110998,11748
Amantadine,Amantadine HCl,852330.3,177153.67,24.49580614,7232
Amantadine,Amantadine HCl,1817.63,,,
Amantadine,Amantadine HCl,262380.74,211916.55,26.3708997,8036
Amaryl,Glimepiride,15408.22,1879.24,125.2826667,15
Amaryl,Glimepiride,15408.22,1879.24,125.2826667,15
Ambien,Zolpidem Tartrate,1239807.6,791915.56,583.5781577,1357
Ambien,Zolpidem Tartrate,1239807.6,791915.56,583.5781577,1357
Ambien Cr,Zolpidem Tartrate,657986.88,374688.73,566.8513313,661
Ambien Cr,Zolpidem Tartrate,657986.88,374688.73,566.8513313,661
Ambisome,Amphotericin B Liposome,4682481.7,2876741.14,1900.093223,1514
Ambisome,Amphotericin B Liposome,4682481.7,2876741.14,1900.093223,1514
Ambrisentan,Ambrisentan,24847130.92,36572009.65,1646.497823,22212
Ambrisentan,Ambrisentan,10845135.86,10746528.59,1607.558503,6685
Ambrisentan,Ambrisentan,348043.2,2139609.76,1320.746765,1620
Ambrisentan,Ambrisentan,2115213.74,19083515.09,1759.984791,10843
Ambrisentan,Ambrisentan,1320636.14,3989178.8,1560.711581,2556
Ambrisentan,Ambrisentan,24238.56,,,
Ambrisentan,Ambrisentan,10218101.98,588938.85,2103.353036,280
Amcinonide,Amcinonide,91434.82,7156.69,275.2573077,26
